MQ_rankings:
       gene  traj       <Q>  MisfoldingProp  num_frames  num_misfolded_frames  Folded
375  P60546    26  0.864939        1.000000       26667                 26667    True
299  P0AA25    47  0.857698        0.999850       26667                 26663    True
418  P0AA25    49  0.856828        1.000000       26667                 26667    True
331  P0AA25    16  0.847401        1.000000       26667                 26667    True
417  P0AA25    48  0.845357        1.000000       26667                 26667    True
373  P60546    20  0.844789        1.000000       26667                 26667    True
335  P0AA25     1  0.843521        1.000000       26667                 26667    True
364  P0AA25    26  0.843173        1.000000       26667                 26667    True
366  P0AA25    11  0.837531        1.000000       26667                 26667    True
362  P0AA25    21  0.836739        1.000000       26667                 26667    True
328  P0A7J3    20  0.834307        1.000000       26667                 26667    True
315  P0AA25    43  0.833801        1.000000       26667                 26667    True
410  P65556    11  0.829135        1.000000       26667                 26667    True
354  P0A790    46  0.824648        1.000000       26667                 26667    True
404  P0A790     8  0.823869        1.000000       26667                 26667    True
419  P0AA25    31  0.823805        1.000000       26667                 26667    True
409  P0A790     2  0.823730        1.000000       26667                 26667    True
399  P0A790    18  0.823528        1.000000       26667                 26667    True
393  P0A790    12  0.821931        1.000000       26667                 26667    True
390  P0A790    25  0.820628        1.000000       26667                 26667    True
392  P0A790    11  0.820427        1.000000       26667                 26667    True
416  P0AA25    45  0.819713        1.000000       26667                 26667    True
357  P0A790    49  0.819450        1.000000       26667                 26667    True
370  P0A790    40  0.818494        1.000000       26667                 26667    True
402  P0A790     5  0.817918        1.000000       26667                 26667    True
401  P0A790     4  0.817849        1.000000       26667                 26667    True
307  P60546    41  0.817339        1.000000       26667                 26667    True
369  P0A790    39  0.817116        1.000000       26667                 26667    True
408  P0A790     1  0.816836        1.000000       26667                 26667    True
314  P0AA25    42  0.816565        1.000000       26667                 26667    True
318  P0AA25     8  0.816406        1.000000       26667                 26667    True
406  P0A790    10  0.816289        1.000000       26667                 26667    True
391  P0A790    26  0.816058        1.000000       26667                 26667    True
383  P0A790    34  0.813427        1.000000       26667                 26667    True
381  P0A790    32  0.813363        1.000000       26667                 26667    True
368  P0A790    38  0.813176        1.000000       26667                 26667    True
359  P0A790    35  0.813036        1.000000       26667                 26667    True
372  P0A790    42  0.812911        1.000000       26667                 26667    True
387  P0A790    22  0.812545        1.000000       26667                 26667    True
374  P60546    23  0.812301        1.000000       26667                 26667    True
361  P0AA25    17  0.811315        1.000000       26667                 26667    True
355  P0A790    47  0.810609        1.000000       26667                 26667    True
415  P60546    44  0.810290        1.000000       26667                 26667    True
397  P0A790    16  0.807958        1.000000       26667                 26667    True
295  P65556    35  0.807731        0.999663       26667                 26658    True
398  P0A790    17  0.804833        1.000000       26667                 26667    True
305  P60546    45  0.803902        1.000000       26667                 26667    True
302  P60546     3  0.802154        0.999925       26667                 26665    True
349  P0A7J3     9  0.800066        1.000000       26667                 26667    True
291  P65556     1  0.798787        0.998238       26667                 26620    True
306  P60546    38  0.798500        1.000000       26667                 26667    True
309  P0A6I0    46  0.790829        1.000000       26667                 26667    True
405  P0A790     9  0.787281        1.000000       26667                 26667    True
262  P0A6I0    20  0.787201        0.782803       26667                 20875    True
297  P60546    32  0.780257        0.999813       26667                 26662    True
376  P0A790    27  0.777877        1.000000       26667                 26667    True
377  P0A790    28  0.770651        1.000000       26667                 26667    True
386  P0A790    21  0.769738        1.000000       26667                 26667    True
365  P0AA25     9  0.768256        1.000000       26667                 26667    True
378  P0A790    29  0.767897        1.000000       26667                 26667    True
304  P60546    15  0.765434        0.999963       26667                 26666    True
330  P0A7J3    26  0.760783        1.000000       26667                 26667    True
336  P60438    48  0.758725        1.000000       26667                 26667    True
339  P60438    44  0.755618        1.000000       26667                 26667    True
332  P60438    13  0.754883        1.000000       26667                 26667    True
311  P65556    30  0.752777        1.000000       26667                 26667    True
LossGain_fractions:
       gene  traj  num_frames  Loss   Gain  Total  LossOverlap  GainOverlap  Total_Overlap  pureLoss_frames  pureGain_frames  bothLossGain_frames  FracLoss  FracGain  FracOverlap  CondLossOverlap  CondGainOverlap  LossNoOverlap  GainNoOverlap  TotalNoOverlap  FracLossNoOverlap  FracGainNoOverlap
125  P0A790     4        2667  5333    320   5653          289          305            594             2368                0                  299  0.943393  0.056607     0.105077         0.054191         0.953125           5044             15            5059           0.997035           0.002965
32   P60546    41        2667  6240   4264  10504         4020         4201           8221                0                0                 2667  0.594059  0.405941     0.782654         0.644231         0.985225           2220             63            2283           0.972405           0.027595
93   P0A790    39        2667  5334   2558   7892         2509         2509           5018              119                0                 2548  0.675874  0.324126     0.635834         0.470379         0.980844           2825             49            2874           0.982951           0.017049
132  P0A790     1        2667  5333   2539   7872         2462         2464           4926              133                0                 2534  0.677464  0.322536     0.625762         0.461654         0.970461           2871             75            2946           0.974542           0.025458
38   P0AA25    42        2667  5301   2675   7976         2670         2673           5343                0                0                 2667  0.664619  0.335381     0.669885         0.503679         0.999252           2631              2            2633           0.999240           0.000760
42   P0AA25     8        2667  5333   5337  10670         5332         5334          10666                0                0                 2667  0.499813  0.500187     0.999625         0.999812         0.999438              1              3               4           0.250000           0.750000
130  P0A790    10        2667  5334   2560   7894         2479         2480           4959              114                0                 2553  0.675703  0.324297     0.628199         0.464754         0.968750           2855             80            2935           0.972743           0.027257
115  P0A790    26        2667  5331    498   5829          477          481            958             2176                0                  491  0.914565  0.085435     0.164351         0.089477         0.965863           4854             17            4871           0.996510           0.003490
107  P0A790    34        2667  5334   2571   7905         2499         2499           4998              102                0                 2565  0.674763  0.325237     0.632258         0.468504         0.971995           2835             72            2907           0.975232           0.024768
105  P0A790    32        2667  5333   2566   7899         2508         2508           5016              107                0                 2560  0.675149  0.324851     0.635017         0.470279         0.977397           2825             58            2883           0.979882           0.020118
92   P0A790    38        2667  5333    230   5563          197          210            407             2460                0                  207  0.958655  0.041345     0.073162         0.036940         0.913043           5136             20            5156           0.996121           0.003879
83   P0A790    35        2667  5334   2572   7906         2507         2508           5015              105                0                 2562  0.674677  0.325323     0.634328         0.470004         0.975117           2827             64            2891           0.977862           0.022138
96   P0A790    42        2667  5333   2560   7893         2496         2496           4992              112                0                 2555  0.675662  0.324338     0.632459         0.468029         0.975000           2837             64            2901           0.977939           0.022061
111  P0A790    22        2667  5334   2529   7863         2469         2469           4938              142                0                 2525  0.678367  0.321633     0.628005         0.462880         0.976275           2865             60            2925           0.979487           0.020513
98   P60546    23        2667  6277   4249  10526         3923         4202           8125                2                0                 2665  0.596333  0.403667     0.771898         0.624980         0.988939           2354             47            2401           0.980425           0.019575
85   P0AA25    17        2667  5315   2849   8164         2683         2848           5531                0                0                 2667  0.651029  0.348971     0.677487         0.504798         0.999649           2632              1            2633           0.999620           0.000380
79   P0A790    47        2667  5333   2532   7865         2467         2467           4934              140                0                 2527  0.678067  0.321933     0.627336         0.462591         0.974329           2866             65            2931           0.977823           0.022177
139  P60546    44        2667  6318   4251  10569         3967         4174           8141                0                0                 2667  0.597786  0.402214     0.770272         0.627889         0.981887           2351             77            2428           0.968287           0.031713
121  P0A790    16        2667  5333   2568   7901         2526         2526           5052              108                0                 2559  0.674978  0.325022     0.639413         0.473655         0.983645           2807             42            2849           0.985258           0.014742
20   P65556    35        2667  2720   6419   9139         2667         2911           5578                0                0                 2667  0.297626  0.702374     0.610351         0.980515         0.453497             53           3508            3561           0.014883           0.985117
122  P0A790    17        2667  5334   2544   7878         2461         2461           4922              133                0                 2534  0.677075  0.322925     0.624778         0.461380         0.967374           2873             83            2956           0.971922           0.028078
30   P60546    45        2667  6296   4248  10544         3976         4189           8165                1                0                 2666  0.597117  0.402883     0.774374         0.631512         0.986111           2320             59            2379           0.975200           0.024800
27   P60546     3        2667  5765   1662   7427         1549         1637           3186             1491                0                 1176  0.776222  0.223778     0.428975         0.268690         0.984958           4216             25            4241           0.994105           0.005895
73   P0A7J3     9        2667  5107   3472   8579         1888         1888           3776              406                0                 2261  0.595291  0.404709     0.440145         0.369689         0.543779           3219           1584            4803           0.670206           0.329794
18   P65556     1        2666   134   4546   4680            6            6             12                0             2532                  134  0.028632  0.971368     0.002564         0.044776         0.001320            128           4540            4668           0.027421           0.972579
31   P60546    38        2667  6216   3252   9468         3211         3213           6424                1                0                 2666  0.656527  0.343473     0.678496         0.516570         0.988007           3005             39            3044           0.987188           0.012812
34   P0A6I0    46        2667  2688    160   2848           63           63            126             2514                0                  153  0.943820  0.056180     0.044242         0.023438         0.393750           2625             97            2722           0.964364           0.035636
129  P0A790     9        2667  5334     70   5404           46           46             92             2597                0                   70  0.987047  0.012953     0.017024         0.008624         0.657143           5288             24            5312           0.995482           0.004518
22   P60546    32        2667  6072   2961   9033         1912         2121           4033             1035                0                 1632  0.672202  0.327798     0.446474         0.314888         0.716312           4160            840            5000           0.832000           0.168000
100  P0A790    27        2667  5333     45   5378           26           26             52             2622                0                   45  0.991633  0.008367     0.009669         0.004875         0.577778           5307             19            5326           0.996433           0.003567
101  P0A790    28        2667     6   1925   1931            1            1              2                4             1923                    2  0.003107  0.996893     0.001036         0.166667         0.000519              5           1924            1929           0.002592           0.997408
110  P0A790    21        2667  5333   2511   7844         2334         2336           4670              165                0                 2502  0.679883  0.320117     0.595360         0.437652         0.930307           2999            175            3174           0.944865           0.055135
89   P0AA25     9        2667  5333   2797   8130         2793         2796           5589                0                0                 2667  0.655966  0.344034     0.687454         0.523720         0.999642           2540              1            2541           0.999606           0.000394
102  P0A790    29        2667  5333     81   5414           53           53            106             2586                0                   81  0.985039  0.014961     0.019579         0.009938         0.654321           5280             28            5308           0.994725           0.005275
29   P60546    15        2667  5900   2847   8747         1716         1924           3640             1195                0                 1472  0.674517  0.325483     0.416143         0.290847         0.675799           4184            923            5107           0.819268           0.180732
54   P0A7J3    26        2667  4666   5042   9708         4630         4638           9268                0                0                 2667  0.480635  0.519365     0.954677         0.992285         0.919873             36            404             440           0.081818           0.918182
60   P60438    48        2667  2236   2677   4913            0            0              0                0              431                 2236  0.455119  0.544881     0.000000         0.000000         0.000000           2236           2677            4913           0.455119           0.544881
63   P60438    44        2667  2254   2675   4929            0            0              0                0              413                 2254  0.457294  0.542706     0.000000         0.000000         0.000000           2254           2675            4929           0.457294           0.542706
56   P60438    13        2667  3535   2696   6231            2            2              4                0              191                 2476  0.567325  0.432675     0.000642         0.000566         0.000742           3533           2694            6227           0.567368           0.432632
36   P65556    30        2667  2756  13044  15800         2756         9055          11811                0                0                 2667  0.174430  0.825570     0.747532         1.000000         0.694189              0           3989            3989           0.000000           1.000000

####################################################################################################
####################################################################################################

Loss_candidates:
       gene  traj  num_frames  Loss  Gain  Total  LossOverlap  GainOverlap  Total_Overlap  pureLoss_frames  pureGain_frames  bothLossGain_frames  FracLoss  FracGain  FracOverlap  CondLossOverlap  CondGainOverlap  LossNoOverlap  GainNoOverlap  TotalNoOverlap  FracLossNoOverlap  FracGainNoOverlap
100  P0A790    27        2667  5333    45   5378           26           26             52             2622                0                   45  0.991633  0.008367     0.009669         0.004875         0.577778           5307             19            5326           0.996433           0.003567
129  P0A790     9        2667  5334    70   5404           46           46             92             2597                0                   70  0.987047  0.012953     0.017024         0.008624         0.657143           5288             24            5312           0.995482           0.004518
102  P0A790    29        2667  5333    81   5414           53           53            106             2586                0                   81  0.985039  0.014961     0.019579         0.009938         0.654321           5280             28            5308           0.994725           0.005275
92   P0A790    38        2667  5333   230   5563          197          210            407             2460                0                  207  0.958655  0.041345     0.073162         0.036940         0.913043           5136             20            5156           0.996121           0.003879
34   P0A6I0    46        2667  2688   160   2848           63           63            126             2514                0                  153  0.943820  0.056180     0.044242         0.023438         0.393750           2625             97            2722           0.964364           0.035636
125  P0A790     4        2667  5333   320   5653          289          305            594             2368                0                  299  0.943393  0.056607     0.105077         0.054191         0.953125           5044             15            5059           0.997035           0.002965
115  P0A790    26        2667  5331   498   5829          477          481            958             2176                0                  491  0.914565  0.085435     0.164351         0.089477         0.965863           4854             17            4871           0.996510           0.003490 7

####################################################################################################
LOSS P0A790 27
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P0A790_4CRZ_A/Q/P0A790_4CRZ_A_t27.Q
(2600,) 85 0.9271844660194176 2515 0.9271844660194176
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/Quenching/P0A790_4CRZ_A_t27_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/setup/P0A790_4CRZ_A_rebuilt_clean_ca.psf
Frame -2515 successfully saved to ./highQ_Misfoled_Candidates/P0A790_t27_f-2515_Q0.927.pdb.
frame: 24152
frame_EntInfo:
           Time(ns)  Frame   i    j       gn   Gn  crossingsN       gc   Gc crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
900253  1811.475038  24152   6   35  0.00000  0.0         0.0 -0.04669 -0.0        +69    NoChange  LossChiral  99.00000   0.99040               1               1    1
900254  1811.475038  24152   6   36  0.00000  0.0         0.0 -0.07801 -0.0        +69    NoChange  LossChiral  99.00000   1.01371               1               1    1
900255  1811.475038  24152   7   35  0.00000  0.0         0.0  0.02904  0.0        +69    NoChange  LossChiral  99.00000   0.91373               1               1    1
900256  1811.475038  24152   7   36  0.00000  0.0         0.0  0.00419  0.0        +69    NoChange  LossChiral  99.00000   0.93941               1               1    1
900257  1811.475038  24152   7   37  0.00000  0.0         0.0  0.02685  0.0        +69    NoChange  LossChiral  99.00000   0.91368               1               1    1
900258  1811.475038  24152   8   35  0.00000  0.0         0.0 -0.07210 -0.0        +69    NoChange  LossChiral  99.00000   1.00671               1               1    1
900259  1811.475038  24152   9   31  0.00000  0.0         0.0  0.14709  0.0        +69    NoChange  LossChiral  99.00000   0.84609               1               1    1
900260  1811.475038  24152   9   35  0.00000  0.0         0.0  0.00140  0.0        +69    NoChange  LossChiral  99.00000   1.01481               1               1    1
900261  1811.475038  24152  34  103  0.18909  0.0        26.0  0.08475  0.0          0  LossChiral    NoChange   0.83946  99.00000               1               1    0
900262  1811.475038  24152  34  105  0.14595  0.0        26.0  0.19654  0.0          0  LossChiral    NoChange   0.85350  99.00000               1               1    0
900263  1811.475038  24152  34  116  0.13506  0.0        27.0  0.00000  0.0          0  LossChiral    NoChange   0.83854  99.00000               1               1    0
900264  1811.475038  24152  35  103  0.15564  0.0        26.0  0.16623  0.0          0  LossChiral    NoChange   0.89012  99.00000               1               1    0
900265  1811.475038  24152  35  104  0.08282  0.0        26.0  0.14606  0.0          0  LossChiral    NoChange   0.89899  99.00000               1               1    0
900266  1811.475038  24152  35  105  0.10559  0.0        26.0  0.28386  0.0          0  LossChiral    NoChange   0.90222  99.00000               1               1    0
900267  1811.475038  24152  36  103  0.06273  0.0        26.0  0.15304  0.0          0  LossChiral    NoChange   0.88462  99.00000               1               1    0
900268  1811.475038  24152  37   88  0.10088  0.0        26.0  0.06160  0.0          0  LossChiral    NoChange   0.85827  99.00000               1               1    0
900269  1811.475038  24152  41   88 -0.02153 -0.0        26.0  0.04544  0.0          0  LossChiral    NoChange   0.96826  99.00000               1               1    0
900270  1811.475038  24152  43   86  0.01271  0.0        26.0  0.03684  0.0          0  LossChiral    NoChange   0.95215  99.00000               1               1    0
900271  1811.475038  24152  43   87  0.03989  0.0        26.0  0.04021  0.0          0  LossChiral    NoChange   0.95830  99.00000               1               1    0
900272  1811.475038  24152  43   88 -0.01383 -0.0        26.0  0.02497  0.0          0  LossChiral    NoChange   0.95178  99.00000               1               1    0
900273  1811.475038  24152  44   86  0.01917  0.0        26.0  0.02259  0.0          0  LossChiral    NoChange   0.93809  99.00000               1               1    0
900274  1811.475038  24152  44   87  0.03898  0.0        26.0  0.02572  0.0          0  LossChiral    NoChange   0.94739  99.00000               1               1    0
900275  1811.475038  24152  44   88 -0.02154 -0.0        26.0  0.01211  0.0          0  LossChiral    NoChange   0.94222  99.00000               1               1    0
900276  1811.475038  24152  45   84  0.07008  0.0        26.0  0.03324  0.0          0  LossChiral    NoChange   1.02850  99.00000               1               1    0
900277  1811.475038  24152  45   85  0.07479  0.0        26.0  0.03708  0.0          0  LossChiral    NoChange   1.00887  99.00000               1               1    0
900278  1811.475038  24152  45   86 -0.00561 -0.0        26.0  0.01743  0.0          0  LossChiral    NoChange   1.01527  99.00000               1               1    0
900279  1811.475038  24152  45   87  0.00751  0.0        26.0  0.01926  0.0          0  LossChiral    NoChange   1.02494  99.00000               1               1    0
900280  1811.475038  24152  46   84 -0.01408 -0.0        26.0  0.02288  0.0          0  LossChiral    NoChange   1.00649  99.00000               1               1    0
900281  1811.475038  24152  46   85 -0.01031 -0.0        26.0  0.02517  0.0          0  LossChiral    NoChange   0.98662  99.00000               1               1    0
900282  1811.475038  24152  46   86 -0.09134 -0.0        26.0  0.00647  0.0          0  LossChiral    NoChange   0.99338  99.00000               1               1    0
900283  1811.475038  24152  47   78  0.03617  0.0        26.0  0.21486  0.0          0  LossChiral    NoChange   0.98236  99.00000               1               1    0
900284  1811.475038  24152  47   82  0.08066  0.0        26.0  0.06310  0.0          0  LossChiral    NoChange   0.99269  99.00000               1               1    0
900285  1811.475038  24152  47   83  0.06927  0.0        26.0  0.04193  0.0          0  LossChiral    NoChange   0.98852  99.00000               1               1    0
900286  1811.475038  24152  47   84 -0.04660 -0.0        26.0  0.02203  0.0          0  LossChiral    NoChange   1.00446  99.00000               1               1    0
900287  1811.475038  24152  47   85 -0.04755 -0.0        26.0  0.02388  0.0          0  LossChiral    NoChange   0.98558  99.00000               1               1    0
900288  1811.475038  24152  48   82 -0.04518 -0.0        26.0  0.05501  0.0          0  LossChiral    NoChange   0.97422  99.00000               1               1    0
900289  1811.475038  24152  48   83 -0.05757 -0.0        26.0  0.03208  0.0          0  LossChiral    NoChange   0.97050  99.00000               1               1    0
900290  1811.475038  24152  48   84 -0.17387 -0.0        26.0  0.01269  0.0          0  LossChiral    NoChange   0.98700  99.00000               1               1    0
900291  1811.475038  24152  48   85 -0.17589 -0.0        26.0  0.01301  0.0          0  LossChiral    NoChange   0.96869  99.00000               1               1    0
900292  1811.475038  24152  49   82 -0.05266 -0.0        26.0  0.05199  0.0          0  LossChiral    NoChange   0.95034  99.00000               1               1    0
900293  1811.475038  24152  49   83 -0.06904 -0.0        26.0  0.02890  0.0          0  LossChiral    NoChange   0.94675  99.00000               1               1    0
900294  1811.475038  24152  50   78 -0.16893 -0.0        26.0  0.22977  0.0          0  LossChiral    NoChange   0.93488  99.00000               1               1    0
900295  1811.475038  24152  50   82 -0.13502 -0.0        26.0  0.04922  0.0          0  LossChiral    NoChange   0.94168  99.00000               1               1    0
900296  1811.475038  24152  52   77 -0.16993 -0.0        26.0  0.18833  0.0          0  LossChiral    NoChange   1.02861  99.00000               1               1    0
900297  1811.475038  24152  52   78 -0.21309 -0.0        26.0  0.21733  0.0          0  LossChiral    NoChange   1.01542  99.00000               1               1    0
tag: P0A790_4CRZ_A
python src/data/backmap.py --aa_pdb ../Rebuild_AllAtom_structures/data/post_rebuilt/P0A790_4CRZ_A_rebuilt.pdb --cg_pdb ./highQ_Misfoled_Candidates/P0A790_t27_f-2515_Q0.927.pdb -p 1

####################################################################################################
LOSS P0A790 9
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P0A790_4CRZ_A/Q/P0A790_4CRZ_A_t9.Q
(2600,) 2286 0.941747572815534 314 0.941747572815534
